timestamp_utc,pair,spot,change_pct,dxy,us10y,gold,vix,sp500,bias,raw_response_chars
2026-05-18 03:00,USDJPY,158.912,0.34,99.366,4.595,4536.3999,18.42,7409.1802,FALL,1879
2026-05-18 04:00,USDJPY,159.054,0.43,99.316,4.595,4549.1001,18.42,7409.1802,FALL,1743
2026-05-18 05:00,USDJPY,158.991,0.39,99.327,4.595,4542.1001,18.42,7409.1802,FALL,1835
2026-05-18 06:01,USDJPY,158.922,0.34,99.315,4.595,4540.8999,18.42,7409.1802,FALL,1775
2026-05-18 06:25,USDJPY,158.868,0.31,99.239,4.595,4542.7998,18.42,7409.1802,FALL,1725
2026-05-18 07:00,USDJPY,158.895,0.33,99.187,4.595,4547.0,18.42,7409.1802,FALL,1671
2026-05-18 08:00,USDJPY,158.885,0.32,99.207,4.595,4544.3999,19.26,7409.1802,FALL,1713
2026-05-18 09:00,USDJPY,158.838,0.29,99.097,4.595,4559.6001,18.92,7409.1802,FALL,1780
2026-05-18 10:00,USDJPY,158.929,0.35,99.157,4.595,4545.5,18.97,7409.1802,FALL,1766
2026-05-18 11:00,USDJPY,158.921,0.34,99.199,4.595,4545.6001,19.13,7409.1802,FALL,1744
2026-05-18 12:00,USDJPY,158.818,0.28,99.119,4.595,4556.3999,18.71,7409.1802,FALL,1798
2026-05-18 13:00,USDJPY,158.681,0.19,99.017,4.568,4574.7998,18.33,7409.1802,FALL,1773
