timestamp_utc,pair,spot,change_pct,dxy,us10y,gold,vix,sp500,bias,raw_response_chars
2026-05-18 03:00,EURUSD,1.162,-0.38,99.368,4.595,4537.0,18.42,7409.1802,FALL,1713
2026-05-18 04:00,EURUSD,1.1627,-0.33,99.315,4.595,4550.8999,18.42,7409.1802,FALL,1698
2026-05-18 05:00,EURUSD,1.1624,-0.35,99.324,4.595,4543.0,18.42,7409.1802,FALL,1645
2026-05-18 06:01,EURUSD,1.1627,-0.33,99.315,4.595,4540.7002,18.42,7409.1802,FALL,1606
2026-05-18 06:25,EURUSD,1.1635,-0.26,99.236,4.595,4543.3999,18.42,7409.1802,FALL,1774
2026-05-18 07:00,EURUSD,1.164,-0.21,99.185,4.595,4547.2002,18.42,7409.1802,FALL,1703
2026-05-18 08:00,EURUSD,1.1636,-0.24,99.209,4.595,4544.2998,19.26,7409.1802,FALL,1699
2026-05-18 09:00,EURUSD,1.1646,-0.16,99.098,4.595,4557.7998,18.92,7409.1802,FALL,1751
2026-05-18 10:00,EURUSD,1.1639,-0.22,99.156,4.595,4545.7998,18.97,7409.1802,FALL,1538
2026-05-18 11:00,EURUSD,1.1632,-0.28,99.197,4.595,4545.7002,19.12,7409.1802,FALL,1603
2026-05-18 12:00,EURUSD,1.1647,-0.15,99.118,4.595,4558.2998,18.71,7409.1802,FALL,1669
2026-05-18 13:00,EURUSD,1.1658,-0.06,99.031,4.569,4573.5,18.36,7409.1802,RISE,1828
2026-05-18 14:01,EURUSD,1.1655,-0.08,99.016,4.58,4581.1001,18.77,7419.1499,FALL,1669
2026-05-18 15:01,EURUSD,1.1643,-0.19,99.083,4.603,4547.6001,18.6,7400.3799,FALL,1804
2026-05-18 16:00,EURUSD,1.165,-0.13,99.061,4.603,4546.6001,18.7,7377.98,FALL,1756
2026-05-18 17:01,EURUSD,1.1654,-0.09,99.005,4.595,4556.2998,18.62,7383.04,FALL,1703
