timestamp_utc,pair,spot,change_pct,dxy,us10y,gold,vix,sp500,bias,raw_response_chars
2026-05-18 03:00,AUDUSD,0.7128,-1.23,99.367,4.595,4535.1001,18.42,7409.1802,FALL,1664
2026-05-18 04:00,AUDUSD,0.7137,-1.1,99.318,4.595,4549.2002,18.42,7409.1802,FALL,1710
2026-05-18 05:00,AUDUSD,0.7134,-1.15,99.325,4.595,4542.2002,18.42,7409.1802,FALL,1607
2026-05-18 06:01,AUDUSD,0.7134,-1.15,99.313,4.595,4541.7002,18.42,7409.1802,FALL,1629
2026-05-18 06:25,AUDUSD,0.7146,-0.98,99.24,4.595,4542.1001,18.42,7409.1802,FALL,1660
2026-05-18 07:00,AUDUSD,0.7151,-0.91,99.193,4.595,4546.5,18.42,7409.1802,FALL,1576
2026-05-18 08:00,AUDUSD,0.7155,-0.85,99.212,4.595,4543.7998,19.26,7409.1802,FALL,1313
2026-05-18 09:00,AUDUSD,0.7161,-0.77,99.107,4.595,4558.7998,18.93,7409.1802,FALL,1736
2026-05-18 10:00,AUDUSD,0.7159,-0.8,99.159,4.595,4544.7998,18.98,7409.1802,FALL,1562
2026-05-18 11:00,AUDUSD,0.7151,-0.91,99.199,4.595,4545.8999,19.13,7409.1802,FALL,1708
