timestamp_utc,pair,spot,change_pct,dxy,us10y,gold,vix,sp500,bias,raw_response_chars
2026-05-18 06:25,HK50,25553.9492,-2.14,99.245,4.595,4540.8999,18.42,7409.1802,FALL,1588
2026-05-18 07:00,HK50,25571.1699,-2.07,99.184,4.595,4548.0,18.42,7409.1802,FALL,1724
2026-05-18 08:00,HK50,25621.3105,-1.88,99.212,4.595,4544.2998,19.26,7409.1802,FALL,1707
2026-05-18 09:00,HK50,25675.1797,-1.68,99.102,4.595,4557.7002,18.93,7409.1802,FALL,1659
2026-05-18 10:00,HK50,25675.1797,-1.68,99.161,4.595,4544.6001,18.97,7409.1802,FALL,1562
2026-05-18 11:00,HK50,25675.1797,-1.68,99.204,4.595,4543.6001,19.1,7409.1802,FALL,1636
2026-05-18 12:00,HK50,25675.1797,-1.68,99.14,4.595,4559.3999,18.71,7409.1802,FALL,1505
2026-05-18 13:00,HK50,25675.1797,-1.68,99.04,4.568,4568.3999,18.37,7409.1802,FALL,1659
2026-05-18 14:01,HK50,25675.1797,-1.68,99.02,4.574,4582.5,18.75,7410.48,FALL,1644
2026-05-18 15:01,HK50,25675.1797,-1.68,99.073,4.603,4551.7998,18.6,7395.02,FALL,1739
2026-05-18 16:00,HK50,25675.1797,-1.68,99.068,4.601,4544.2002,18.67,7378.8101,FALL,1614
2026-05-18 17:01,HK50,25675.1797,-1.68,99.025,4.595,4555.5,18.59,7384.7402,FALL,1653
2026-05-18 18:01,HK50,25675.1797,-1.68,99.025,4.597,4552.7998,18.28,7377.73,FALL,1419
2026-05-18 19:01,HK50,25675.1797,-1.68,99.14,4.619,4543.8999,18.6,7394.6401,FALL,1698
