timestamp_utc,pair,spot,change_pct,dxy,us10y,gold,vix,sp500,bias,raw_response_chars
2026-05-18 06:25,JPN225,60842.4414,-2.67,99.244,4.595,4540.7998,18.42,7409.1802,FALL,1737
2026-05-18 07:00,JPN225,60819.5703,-2.71,99.183,4.595,4548.1001,18.42,7409.1802,FALL,1593
2026-05-18 08:00,JPN225,60819.5703,-2.71,99.213,4.595,4544.2998,19.25,7409.1802,FALL,1822
2026-05-18 09:00,JPN225,60819.5703,-2.71,99.105,4.595,4558.6001,18.94,7409.1802,FALL,1769
2026-05-18 10:00,JPN225,60819.5703,-2.71,99.161,4.595,4544.6001,18.97,7409.1802,FALL,1637
2026-05-18 11:00,JPN225,60819.5703,-2.71,99.205,4.595,4544.0,19.09,7409.1802,FALL,1690
2026-05-18 12:00,JPN225,60819.5703,-2.71,99.138,4.595,4558.1001,18.7,7409.1802,FALL,1714
2026-05-18 13:00,JPN225,60819.5703,-2.71,99.049,4.568,4567.5,18.38,7409.1802,FALL,1546
2026-05-18 14:01,JPN225,60819.5703,-2.71,99.021,4.574,4584.7002,18.69,7412.2998,FALL,1620
2026-05-18 15:01,JPN225,60819.5703,-2.71,99.075,4.603,4552.2002,18.59,7393.8999,FALL,1747
2026-05-18 16:00,JPN225,60819.5703,-2.71,99.072,4.601,4545.1001,18.67,7379.7798,FALL,1764
2026-05-18 17:01,JPN225,60819.5703,-2.71,99.023,4.595,4555.6001,18.59,7385.25,FALL,1669
2026-05-18 18:01,JPN225,60819.5703,-2.71,99.026,4.597,4552.6001,18.28,7379.04,FALL,1757
